id,Year,Qtr,Value
01003,2006,1,3.7000000000000006
01003,2006,2,3.0666666666666664
01003,2006,3,3.3000000000000003
01003,2006,4,2.8333333333333335
01003,2007,1,3.3333333333333335
01003,2007,2,2.6666666666666665
01003,2007,3,3.2000000000000006
01003,2007,4,3.1999999999999997
01003,2008,1,4.0
01003,2008,2,3.8000000000000003
01003,2008,3,4.833333333333333
01003,2008,4,5.866666666666667
01003,2009,1,9.033333333333333
01003,2009,2,9.000000000000002
01003,2009,3,10.1
01003,2009,4,10.9
01003,2010,1,11.933333333333332
01003,2010,2,9.433333333333334
01003,2010,3,9.166666666666666
01003,2010,4,9.5
01003,2011,1,9.966666666666667
01003,2011,2,8.966666666666667
01003,2011,3,8.9
01003,2011,4,8.0
01003,2012,1,8.133333333333333
01003,2012,2,7.333333333333333
01003,2012,3,7.566666666666667
01003,2012,4,7.066666666666666
01003,2013,1,7.6000000000000005
01003,2013,2,6.099999999999999
01003,2013,3,6.366666666666667
01003,2013,4,6.433333333333334
01003,2014,1,7.233333333333333
01003,2014,2,5.733333333333333
01003,2014,3,5.966666666666666
01003,2014,4,5.599999999999999
01003,2015,1,6.0
01003,2015,2,5.233333333333333
01003,2015,3,5.466666666666666
01003,2015,4,5.433333333333333
01005,2006,1,5.266666666666667
01005,2006,2,5.466666666666666
01005,2006,3,6.3999999999999995
01005,2006,4,5.633333333333333
01005,2007,1,6.166666666666667
01005,2007,2,5.266666666666667
01005,2007,3,6.8999999999999995
01005,2007,4,6.733333333333333
01005,2008,1,8.433333333333334
01005,2008,2,8.366666666666667
01005,2008,3,9.200000000000001
01005,2008,4,9.166666666666666
01005,2009,1,12.566666666666668
01005,2009,2,13.200000000000001
01005,2009,3,15.633333333333335
01005,2009,4,15.799999999999999
01005,2010,1,14.300000000000002
01005,2010,2,11.700000000000001
01005,2010,3,11.299999999999999
01005,2010,4,12.200000000000001
01005,2011,1,11.9
01005,2011,2,11.366666666666665
01005,2011,3,11.966666666666667
01005,2011,4,10.9
01005,2012,1,11.333333333333334
01005,2012,2,11.433333333333332
01005,2012,3,12.699999999999998
01005,2012,4,10.633333333333333
01005,2013,1,11.233333333333334
01005,2013,2,9.9
01005,2013,3,10.333333333333334
01005,2013,4,9.466666666666667
01005,2014,1,11.166666666666666
01005,2014,2,10.566666666666668
01005,2014,3,11.066666666666668
01005,2014,4,9.333333333333332
01005,2015,1,9.233333333333334
01005,2015,2,8.733333333333334
01005,2015,3,9.0
01005,2015,4,8.5
01017,2006,1,5.733333333333333
01017,2006,2,5.3999999999999995
01017,2006,3,6.3999999999999995
01017,2006,4,5.833333333333333
01017,2007,1,6.466666666666666
01017,2007,2,5.833333333333333
01017,2007,3,6.533333333333334
01017,2007,4,7.166666666666667
01017,2008,1,10.766666666666666
01017,2008,2,14.299999999999999
01017,2008,3,16.066666666666666
01017,2008,4,16.599999999999998
01017,2009,1,20.5
01017,2009,2,19.599999999999998
01017,2009,3,19.533333333333335
01017,2009,4,18.73333333333333
01017,2010,1,17.733333333333334
01017,2010,2,14.933333333333332
01017,2010,3,14.1
01017,2010,4,12.933333333333332
01017,2011,1,13.0
01017,2011,2,12.033333333333331
01017,2011,3,12.433333333333332
01017,2011,4,10.4
01017,2012,1,10.233333333333333
01017,2012,2,10.466666666666667
01017,2012,3,10.366666666666667
01017,2012,4,8.399999999999999
01017,2013,1,8.633333333333333
01017,2013,2,7.533333333333334
01017,2013,3,8.4
01017,2013,4,7.300000000000001
01017,2014,1,7.6000000000000005
01017,2014,2,6.633333333333333
01017,2014,3,6.833333333333333
01017,2014,4,5.733333333333333
01017,2015,1,6.3
01017,2015,2,5.966666666666666
01017,2015,3,6.266666666666667
01017,2015,4,5.5
01019,2006,1,4.333333333333333
01019,2006,2,3.9666666666666663
01019,2006,3,4.666666666666667
01019,2006,4,3.966666666666667
01019,2007,1,4.666666666666667
01019,2007,2,3.866666666666667
01019,2007,3,4.233333333333333
01019,2007,4,3.966666666666667
01019,2008,1,4.8
01019,2008,2,4.8999999999999995
01019,2008,3,6.133333333333333
01019,2008,4,7.133333333333333
01019,2009,1,11.799999999999999
01019,2009,2,11.666666666666666
01019,2009,3,12.1
01019,2009,4,11.166666666666666
01019,2010,1,12.566666666666668
01019,2010,2,10.133333333333333
01019,2010,3,10.066666666666666
01019,2010,4,9.8
01019,2011,1,10.833333333333334
01019,2011,2,9.766666666666667
01019,2011,3,9.933333333333335
01019,2011,4,8.133333333333333
01019,2012,1,8.7
01019,2012,2,7.966666666666666
01019,2012,3,8.299999999999999
01019,2012,4,7.166666666666667
01019,2013,1,7.6000000000000005
01019,2013,2,6.2
01019,2013,3,6.533333333333334
01019,2013,4,6.066666666666666
01019,2014,1,6.833333333333333
01019,2014,2,5.800000000000001
01019,2014,3,5.733333333333333
01019,2014,4,4.833333333333333
01019,2015,1,5.7
01019,2015,2,5.300000000000001
01019,2015,3,5.566666666666666
01019,2015,4,5.2
01023,2006,1,6.033333333333334
01023,2006,2,5.599999999999999
01023,2006,3,5.633333333333333
01023,2006,4,5.2
01023,2007,1,5.666666666666667
01023,2007,2,5.2
01023,2007,3,6.166666666666667
01023,2007,4,6.699999999999999
01023,2008,1,7.666666666666667
01023,2008,2,7.833333333333333
01023,2008,3,8.966666666666667
01023,2008,4,8.9
01023,2009,1,12.766666666666666
01023,2009,2,13.366666666666667
01023,2009,3,14.033333333333331
01023,2009,4,13.766666666666666
01023,2010,1,14.266666666666666
01023,2010,2,12.733333333333334
01023,2010,3,12.933333333333332
01023,2010,4,13.1
01023,2011,1,13.9
01023,2011,2,13.933333333333332
01023,2011,3,13.833333333333334
01023,2011,4,10.9
01023,2012,1,10.966666666666667
01023,2012,2,10.366666666666667
01023,2012,3,10.833333333333334
